amount,hour,category,distance_from_home,txns_last_hour,is_foreign,is_fraud
3.82,11,home,30.6,1,0,0
10.9,7,home,23.97,1,0,0
24.42,14,services,25.93,0,0,0
28.66,23,grocery,15.61,1,0,0
15.5,15,subscription,43.65,0,0,0
30.35,13,food,48.88,0,0,0
56.39,9,travel,6.01,0,0,0
29.54,6,retail,18.29,1,0,0
69.84,11,pharmacy,79.13,0,0,0
13.25,12,hardware,36.34,1,0,0
11.55,15,home,24.89,1,0,0
43.55,14,hardware,42.42,0,0,0
5.55,16,retail,23.66,0,0,0
10.42,19,subscription,11.41,0,0,0
19.14,16,pharmacy,11.66,0,1,0
69.82,15,luxury,45.11,2,0,1
11.52,12,retail,17.34,1,0,0
29.88,14,travel,15.55,0,1,0
23.09,20,travel,6.55,0,0,0
41.31,18,home,42.36,0,0,0
40.42,19,electronics,27.89,1,0,0
110.4,18,electronics,54.55,2,0,0
5.77,12,hardware,9.13,2,0,0
20.66,20,retail,25.55,0,0,0
73.07,9,grocery,21.99,0,0,0
1.29,7,subscription,34.9,0,0,0
59.58,22,grocery,42.79,0,0,0
5.73,15,pharmacy,33.27,1,0,0
65.09,11,food,18.25,0,0,0
12.72,23,fuel,48.68,0,0,0
326.19,17,luxury,12.8,0,0,0
8.84,13,grocery,6.41,0,0,0
21.57,22,food,19.73,2,0,0
8.25,17,subscription,11.74,0,0,0
7.12,22,home,34.19,0,0,0
65.28,20,travel,38.5,1,0,0
34.21,17,home,46.33,0,0,0
73.84,13,fuel,41.79,1,0,0
57.26,16,travel,32.86,0,0,0
12.72,21,services,27.55,0,0,0
54.8,13,electronics,35.32,0,0,0
3.29,23,home,32.49,1,0,0
45.13,18,hardware,48.98,0,0,0
14.52,14,subscription,25.69,1,0,0
22.4,23,subscription,0.91,0,0,0
19.65,15,home,10.46,0,0,0
8.23,11,services,14.19,1,0,0
101.5,19,electronics,20.27,3,0,0
56.69,6,fuel,9.97,0,0,0
37.8,13,retail,3.18,0,0,0
79.23,9,travel,24.34,0,0,0
12.21,18,home,12.29,0,0,0
87.6,23,travel,6.77,2,0,0
4.48,21,grocery,26.96,0,0,0
13.24,16,grocery,11.59,0,1,0
30.56,17,food,42.76,0,0,0
4.06,14,pharmacy,1.5,0,0,0
199.1,18,travel,39.21,0,0,0
16.22,10,fuel,38.12,0,0,0
340.1,16,luxury,33.42,0,0,0
23.22,17,fuel,28.67,2,0,0
17.33,21,subscription,8.65,0,0,0
63.32,16,luxury,13.25,1,0,0
51.94,10,home,47.43,0,0,0
2.65,23,hardware,44.98,0,1,0
28.97,20,auto,12.71,0,0,0
77.14,19,electronics,14.04,1,0,0
11.08,20,services,23.6,0,0,0
29.32,18,food,3.71,0,0,0
45.45,15,luxury,34.96,2,0,0
1.99,16,subscription,67.14,2,0,0
2.93,12,home,35.85,1,0,0
9.08,15,fuel,6.48,0,0,0
6.61,9,hardware,40.01,1,0,0
8.02,8,luxury,52.65,0,0,0
49.78,13,electronics,54.62,3,0,0
19.28,17,pharmacy,55.06,0,0,0
8.2,23,services,14.99,1,0,0
43.6,7,services,28.23,0,0,0
2.17,15,hardware,41.93,1,0,0
26.21,23,hardware,25.26,0,0,0
165.47,9,electronics,13.16,1,1,0
43.73,19,food,32.25,0,0,0
3.7,5,home,72.33,0,0,0
15.18,12,hardware,32.64,0,0,0
13.43,23,retail,34.83,0,0,0
14.85,13,fuel,10.14,2,1,0
1.05,10,fuel,30.38,1,0,0
16.18,23,retail,10.65,0,0,0
14.44,10,auto,8.75,1,0,0
8.11,10,home,9.76,0,0,0
3.11,18,retail,15.34,1,0,0
1.38,23,services,20.86,0,0,0
3.02,15,electronics,40.66,0,0,0
160.06,10,electronics,50.05,0,0,0
3.37,22,grocery,31.6,0,0,0
4.33,4,pharmacy,19.32,0,0,0
8.34,22,auto,29.48,0,0,0
4.04,14,subscription,7.68,1,0,0
14.81,15,auto,19.57,0,0,0
9.23,10,luxury,36.53,0,0,0
22.65,17,home,29.31,0,0,0
6.08,18,grocery,4.56,1,0,0
60.43,17,auto,49.08,0,0,0
28.9,10,subscription,14.05,0,0,0
20.04,7,subscription,30.13,0,0,0
13.6,12,luxury,24.85,1,0,0
25.42,21,fuel,21.71,1,0,0
124.87,21,luxury,23.33,0,1,0
25.68,23,food,7.3,2,0,0
85.44,13,grocery,10.81,1,0,0
8.41,10,food,25.74,0,0,0
62.47,21,pharmacy,51.19,1,0,0
136.17,22,travel,19.56,0,0,0
52.71,15,hardware,10.06,3,0,0
3.47,16,subscription,32.62,0,0,0
13.77,20,food,60.55,0,0,0
35.64,14,grocery,33.55,0,0,0
29.35,20,electronics,41.06,1,0,0
5.03,13,travel,24.86,1,0,0
7.18,14,retail,57.21,0,0,0
6.19,15,food,21.8,0,0,0
17.81,5,auto,22.02,0,0,0
221.52,9,electronics,64.57,0,0,0
24.7,12,subscription,17.29,1,0,0
13.14,8,fuel,6.46,1,0,0
171.81,23,travel,15.65,0,0,0
34.42,22,luxury,14.91,0,0,0
37.64,10,retail,17.6,0,0,0
47.94,20,luxury,49.76,0,0,0
9.08,18,auto,11.93,1,0,0
22.57,14,grocery,42.36,1,0,0
15.9,13,food,9.14,0,0,0
138.03,19,travel,9.11,0,0,0
2.41,15,pharmacy,38.53,1,0,0
117.51,15,services,20.87,0,0,0
75.24,20,travel,11.18,0,0,0
6.88,22,pharmacy,44.88,0,0,0
40.99,20,fuel,20.17,1,0,0
21.55,18,subscription,38.62,1,0,0
2.01,9,subscription,41.04,1,0,0
21.25,12,services,47.96,0,0,0
35.27,19,grocery,4.92,0,0,0
1.93,16,auto,46.46,0,0,0
184.95,12,retail,31.59,1,0,0
26.91,14,services,37.02,1,0,0
2.55,12,pharmacy,16.46,0,0,0
9.59,13,pharmacy,10.38,1,0,0
29.88,19,travel,57.13,0,0,0
3.27,11,grocery,27.49,2,0,0
22.08,19,hardware,57.08,1,0,0
45.26,23,electronics,38.94,1,0,0
164.37,15,electronics,63.96,2,0,0
16.23,9,retail,26.46,0,0,0
71.0,23,pharmacy,49.94,0,0,0
13.32,15,food,44.42,1,0,0
28.41,12,fuel,14.79,0,0,0
17.26,18,pharmacy,7.38,0,0,0
7.49,15,food,15.37,0,0,0
9.92,12,grocery,18.05,0,0,0
59.13,11,travel,15.53,0,0,0
7.22,13,grocery,5.83,3,0,0
44.37,19,luxury,18.63,1,0,0
13.36,17,luxury,9.99,1,0,0
17.01,14,services,71.27,2,0,0
47.61,18,grocery,19.42,0,0,0
19.23,10,subscription,56.04,0,0,0
319.37,20,electronics,12.44,0,0,0
6.85,15,pharmacy,12.11,0,0,0
5.31,19,auto,22.55,1,0,0
56.72,20,retail,17.11,0,0,0
20.64,17,retail,12.08,0,0,0
20.41,12,pharmacy,63.75,1,0,0
28.53,15,fuel,31.14,0,0,0
17.83,5,retail,42.17,1,0,0
8.35,8,home,24.67,3,0,0
34.23,18,retail,29.9,0,1,0
2.74,19,food,43.26,2,0,0
25.76,19,grocery,40.1,1,0,0
8.07,14,grocery,40.05,1,0,0
21.3,16,pharmacy,2.14,1,0,0
44.03,15,home,18.65,1,0,0
27.82,15,retail,13.36,0,0,0
14.02,9,home,8.91,2,0,0
1.99,23,fuel,27.22,0,0,0
13.0,16,grocery,58.01,0,0,0
8.5,14,grocery,27.05,1,0,0
5.97,23,home,37.08,0,0,0
16.73,23,subscription,45.81,1,0,0
51.16,10,grocery,55.73,1,0,0
7.34,17,subscription,30.17,0,0,0
14.52,14,services,29.67,0,0,0
1.88,10,home,22.34,0,0,0
7.45,12,subscription,38.86,0,0,0
6.54,12,auto,30.52,1,0,0
36.04,20,luxury,29.72,0,0,0
15.39,13,auto,3.04,0,0,0
26.32,9,travel,54.71,1,0,0
21.77,23,fuel,32.76,0,0,0
6.4,14,services,43.63,0,0,0
3.87,17,fuel,43.7,1,0,0
31.95,15,home,10.36,1,1,0
44.02,21,grocery,24.08,0,0,0
43.08,10,travel,44.24,0,0,0
76.52,20,luxury,24.76,0,0,0
3.93,6,home,19.72,2,0,0
5.46,19,pharmacy,29.94,2,0,0
15.63,12,fuel,26.74,0,0,0
127.77,12,electronics,31.56,0,0,0
6.63,14,home,60.26,0,0,0
8.57,14,hardware,24.43,0,0,0
21.64,17,subscription,3.38,0,0,0
13.89,18,fuel,17.59,1,1,0
17.93,15,services,37.85,0,0,0
18.83,19,grocery,49.77,0,0,0
4.75,14,services,49.98,1,0,0
18.68,20,home,42.79,0,0,0
42.56,18,subscription,34.27,0,0,0
29.23,12,services,5.67,1,0,0
71.38,12,services,45.23,0,0,0
60.75,19,fuel,22.67,0,0,0
5.45,19,fuel,15.87,0,0,0
77.11,18,luxury,60.33,0,0,0
19.31,3,subscription,24.9,1,0,0
27.08,9,auto,54.35,0,0,0
4.78,10,grocery,21.61,0,0,0
62.17,15,fuel,22.73,0,0,0
17.08,7,luxury,23.36,1,0,0
18.66,9,home,44.7,1,0,0
33.87,18,auto,19.39,0,0,0
20.36,20,hardware,38.82,1,0,0
4.92,9,food,34.77,0,0,0
20.16,18,travel,18.59,0,0,0
7.42,23,grocery,4.87,1,0,0
19.43,10,luxury,22.11,1,0,0
54.86,17,hardware,65.99,1,0,0
80.0,16,services,37.8,0,0,0
70.8,7,subscription,66.92,0,0,0
12.64,10,hardware,42.19,0,0,0
2.71,17,grocery,54.27,0,0,0
6.82,16,fuel,19.05,0,0,0
20.46,7,grocery,45.97,0,0,0
83.02,11,electronics,36.9,1,0,0
8.91,18,hardware,30.18,1,0,0
20.54,18,subscription,24.59,0,0,0
6.2,17,services,25.12,0,0,0
21.11,14,electronics,28.57,1,1,0
95.69,21,hardware,34.91,1,0,0
34.59,12,travel,14.99,0,0,0
15.53,18,home,7.15,0,0,0
32.82,9,grocery,10.89,3,0,0
16.77,10,fuel,23.65,1,0,0
18.57,11,pharmacy,91.62,1,1,0
6.78,15,travel,28.64,0,0,0
39.98,14,travel,22.09,1,0,0
2.77,13,subscription,47.27,0,0,0
42.55,16,pharmacy,50.72,1,0,0
15.4,11,hardware,26.44,0,0,0
9.25,22,home,12.38,0,0,0
6.75,14,fuel,49.06,0,0,0
5.82,14,travel,10.74,3,0,0
193.32,17,electronics,47.12,0,0,0
32.42,15,luxury,10.2,1,0,0
20.15,17,fuel,7.69,0,0,0
16.11,15,hardware,69.08,0,0,0
5.4,17,fuel,20.66,1,0,0
23.23,10,auto,47.6,0,0,0
2.46,22,grocery,12.87,1,0,0
20.99,12,fuel,49.39,0,0,0
13.78,11,electronics,4.44,0,0,0
82.6,17,subscription,4.4,0,0,0
5.65,12,services,80.43,1,0,0
32.02,15,grocery,29.42,0,0,0
24.43,16,grocery,31.75,1,0,0
16.03,11,grocery,28.38,1,0,0
67.22,23,electronics,20.41,1,0,0
8.02,16,auto,20.95,1,0,0
19.16,13,luxury,30.41,1,0,0
16.94,14,retail,33.93,0,0,0
8.32,18,auto,26.01,1,0,0
20.7,14,food,8.58,0,0,0
20.1,17,luxury,39.44,1,0,0
124.78,17,pharmacy,35.84,0,0,0
15.9,16,food,83.62,0,0,0
127.46,8,luxury,57.36,1,0,1
5.26,16,hardware,41.16,3,0,0
43.22,12,retail,21.21,0,0,0
12.34,21,retail,24.06,1,0,0
2.83,19,auto,43.45,0,0,0
10.64,10,services,31.91,0,0,0
23.67,17,luxury,51.0,0,0,0
17.46,12,fuel,8.41,0,0,0
26.13,9,pharmacy,53.77,3,0,0
5.18,10,home,34.55,0,0,0
15.63,19,travel,37.41,0,0,0
42.31,15,home,13.04,1,1,0
10.69,20,pharmacy,65.47,1,0,0
39.74,19,retail,28.87,0,0,0
32.49,15,retail,19.62,0,0,0
33.05,11,home,32.22,1,0,0
15.6,17,auto,51.16,1,0,0
25.36,14,retail,26.49,2,1,0
67.83,8,home,21.5,2,0,0
22.78,13,services,10.59,0,0,0
21.12,14,retail,35.94,1,0,0
7.6,14,food,21.04,0,0,0
21.37,16,retail,13.6,3,0,0
52.44,22,retail,19.03,1,0,0
8.91,13,travel,4.65,0,0,0
11.08,7,travel,30.28,2,0,0
40.48,21,electronics,25.82,0,0,0
62.88,20,electronics,30.06,1,0,0
7.52,16,subscription,65.99,1,0,0
13.62,16,retail,19.39,1,0,0
20.54,20,subscription,48.64,0,0,0
18.56,9,home,36.73,0,0,0
59.04,10,subscription,41.59,0,0,0
30.24,12,pharmacy,38.53,0,0,0
6.24,19,retail,7.98,1,0,0
11.75,17,retail,41.41,0,0,0
5.58,8,food,34.04,1,0,0
19.83,11,auto,13.92,4,0,0
3.57,11,fuel,45.99,1,0,0
371.0,23,luxury,30.53,1,0,0
29.96,21,electronics,26.99,0,0,0
132.13,19,electronics,5.44,0,0,0
12.36,11,food,37.03,0,0,0
76.21,11,fuel,43.2,0,0,0
33.37,17,pharmacy,3.27,1,0,0
4.07,16,home,23.43,0,0,0
57.85,20,travel,34.64,0,0,0
51.05,6,electronics,15.62,0,0,0
4.38,17,pharmacy,25.87,0,0,0
3.7,9,auto,33.24,0,0,0
53.43,17,electronics,30.4,0,0,0
1.93,12,services,13.61,0,0,0
4.4,11,hardware,17.4,1,0,0
11.96,10,home,20.55,1,0,0
48.69,18,food,27.87,2,0,0
14.35,18,services,10.41,0,0,0
41.34,14,hardware,48.37,0,0,0
45.12,10,travel,21.86,1,0,0
1.63,16,pharmacy,35.97,0,0,0
452.93,19,travel,42.14,1,0,0
3.26,10,auto,25.71,1,1,0
6.06,10,retail,13.84,0,0,0
12.81,12,home,25.88,1,0,0
26.16,14,hardware,30.72,1,0,0
57.86,12,fuel,8.93,1,0,0
5.68,11,subscription,15.17,1,0,0
11.7,13,food,29.62,0,0,0
234.52,13,luxury,17.96,0,0,0
96.14,10,auto,39.8,1,0,0
43.1,12,travel,52.24,0,0,0
85.13,18,luxury,16.91,3,0,0
4.03,15,home,50.76,0,0,0
4.99,18,subscription,40.96,2,0,0
1.0,13,auto,1.8,0,0,0
9.99,7,food,20.18,0,0,0
6.07,16,services,4.03,1,1,0
8.7,17,food,8.09,1,0,0
18.33,16,home,66.5,0,0,0
12.33,8,auto,62.53,1,0,0
15.27,20,food,20.92,1,0,0
3.52,16,services,3.98,2,0,0
5.31,16,pharmacy,51.8,1,0,0
121.9,14,travel,19.0,0,1,0
11.27,23,electronics,19.94,0,0,0
21.36,9,fuel,39.83,1,0,0
7.17,15,grocery,15.73,0,0,0
6.74,20,pharmacy,20.67,0,0,0
1.51,12,grocery,29.01,0,0,0
264.89,10,luxury,21.2,2,0,0
24.36,23,grocery,23.55,0,0,0
30.25,12,luxury,24.1,1,0,0
6.25,7,pharmacy,26.62,0,0,0
34.94,18,pharmacy,27.13,1,0,0
27.46,18,services,5.22,0,0,0
55.59,12,grocery,16.72,0,0,0
24.53,16,pharmacy,40.08,0,0,0
261.27,12,luxury,53.08,1,0,0
84.57,14,services,39.12,1,0,0
107.7,16,electronics,14.54,0,0,0
6.5,4,auto,23.91,0,0,0
4.84,13,pharmacy,42.46,1,1,0
22.6,22,hardware,7.6,2,1,0
3.37,21,retail,31.14,1,0,0
63.14,13,food,8.1,1,0,0
139.35,22,retail,50.3,1,0,0
62.03,12,travel,19.13,1,1,0
1.0,7,fuel,30.59,0,0,0
12.42,10,food,43.39,1,0,0
13.31,22,subscription,29.52,2,0,0
5.86,15,auto,25.92,2,0,0
8.33,15,subscription,35.74,1,0,0
30.14,10,pharmacy,54.05,1,0,0
173.85,15,electronics,23.54,0,0,0
29.54,20,electronics,9.51,0,0,0
5.65,16,hardware,39.65,0,0,0
7.87,16,food,26.36,1,0,0
11.8,12,services,17.85,1,0,0
3.75,10,services,37.25,0,0,0
117.95,11,services,54.38,0,0,0
87.44,9,travel,11.59,0,0,0
90.97,17,electronics,30.28,0,0,0
19.19,21,food,39.55,0,0,0
7.92,16,fuel,65.34,0,0,0
7.89,15,pharmacy,25.81,1,0,0
55.97,17,travel,56.35,0,0,0
15.81,10,home,11.0,0,0,0
7.83,11,hardware,41.5,0,0,0
12.33,19,food,9.09,0,0,0
74.29,18,services,29.32,0,0,0
122.18,18,auto,19.69,0,0,0
41.51,12,luxury,10.94,0,0,0
15.94,19,home,47.76,1,0,0
13.58,13,retail,25.23,0,0,0
30.41,1,grocery,16.37,1,0,0
23.18,16,home,48.24,0,0,0
55.81,15,luxury,34.11,0,0,0
12.21,23,auto,47.83,0,0,0
19.16,16,services,18.73,0,0,0
3.72,22,travel,10.11,0,0,0
30.65,11,home,35.05,0,0,0
29.85,17,travel,15.71,1,0,0
20.77,10,grocery,7.45,3,0,0
4.08,11,home,48.46,0,0,0
50.25,13,subscription,12.84,0,0,0
108.78,17,grocery,46.39,1,0,0
14.35,16,subscription,33.19,0,0,0
9.08,18,pharmacy,4.18,2,0,0
8.3,13,fuel,49.17,0,0,0
5.96,13,services,38.17,4,1,0
5.52,16,hardware,12.86,0,0,0
213.35,17,luxury,18.59,1,0,0
57.59,14,electronics,18.63,1,0,0
2.28,19,subscription,19.41,0,0,0
12.96,23,home,52.26,0,0,0
12.12,19,services,27.32,1,0,0
7.86,8,auto,26.4,0,0,0
10.09,17,food,26.46,3,0,0
23.05,11,retail,57.16,0,0,0
11.74,15,subscription,18.98,0,0,0
16.56,20,hardware,8.08,0,0,0
51.15,18,services,38.47,1,0,0
4.9,15,food,14.27,0,0,0
4.6,12,auto,29.72,0,0,0
21.65,14,services,9.27,0,0,0
4.67,7,retail,59.38,1,0,0
4.36,13,auto,1.46,0,0,0
21.45,11,services,66.43,1,0,0
6.25,19,luxury,12.03,0,0,0
9.5,19,subscription,49.88,1,0,0
58.04,22,travel,9.27,0,0,0
15.94,18,home,41.54,0,0,0
4.27,16,pharmacy,38.93,0,0,0
71.43,20,fuel,34.17,0,0,0
44.58,17,subscription,30.85,1,1,0
6.3,18,food,29.49,0,0,0
30.21,9,fuel,33.82,1,0,0
84.29,22,luxury,11.03,1,0,0
41.66,3,luxury,19.11,0,0,0
21.31,23,auto,37.32,0,0,0
9.64,14,travel,56.48,1,0,0
2.22,20,grocery,21.14,1,0,0
40.31,21,luxury,11.04,3,0,0
6.4,11,retail,11.97,0,0,0
29.25,15,services,21.98,0,0,0
39.99,17,travel,56.41,0,0,0
2.65,21,hardware,41.58,0,1,0
66.67,22,travel,59.68,1,0,0
32.67,20,luxury,31.71,1,0,0
15.62,14,grocery,3.33,2,0,0
9.86,19,auto,45.18,0,0,0
8.85,1,luxury,22.73,0,0,0
37.4,18,hardware,47.89,1,0,0
5.99,11,food,20.4,1,0,0
29.98,7,travel,56.98,0,0,0
140.99,5,food,16.1,2,0,0
57.31,20,retail,25.76,0,0,0
43.21,12,food,30.02,0,0,0
18.03,0,pharmacy,20.07,0,0,0
6.72,11,services,39.01,0,0,0
52.36,7,subscription,33.0,0,0,0
42.37,16,hardware,6.44,0,0,0
51.34,11,hardware,7.79,1,0,0
118.31,10,auto,47.14,0,0,0
18.74,10,auto,13.44,0,0,0
2.97,13,services,6.92,0,0,0
69.85,5,grocery,21.9,1,0,0
11.73,14,services,5.8,0,0,0
4.49,12,fuel,10.68,0,0,0
3.47,15,fuel,6.87,1,0,0
40.55,10,travel,75.81,0,0,0
151.88,16,luxury,19.02,2,0,0
97.43,15,luxury,27.76,3,1,1
82.41,23,travel,28.91,1,0,0
41.33,3,luxury,9.71,0,0,0
19.98,18,hardware,18.88,0,0,0
32.19,23,retail,8.16,0,0,0
70.6,15,subscription,57.45,0,0,0
10.22,17,home,17.22,1,0,0
1.79,11,pharmacy,33.73,0,0,0
40.26,20,luxury,19.86,1,0,0
33.47,13,fuel,10.42,0,0,0
16.14,20,hardware,34.77,0,0,0
10.34,18,grocery,10.19,0,0,0
27.56,17,travel,31.76,0,0,0
2.49,17,subscription,34.02,1,0,0
6.61,23,services,7.33,0,0,0
54.26,12,travel,27.82,1,0,0
68.13,12,retail,11.63,0,0,0
9.98,10,grocery,19.43,0,0,0
11.91,13,home,78.68,0,0,0
3.55,11,retail,10.78,1,0,0
8.72,12,auto,5.21,0,0,0
18.62,7,retail,14.31,0,0,0
46.14,6,electronics,75.26,1,0,0
30.6,14,hardware,37.79,3,0,0
27.43,16,services,14.6,1,1,0
16.46,16,food,16.33,0,0,0
30.86,13,food,33.84,1,0,0
12.97,16,fuel,16.59,0,1,0
33.21,23,home,62.31,1,0,0
10.43,19,pharmacy,3.44,0,0,0
29.11,13,grocery,8.88,1,0,0
53.46,20,luxury,32.78,0,0,0
49.51,14,auto,0.92,0,0,0
98.86,17,services,42.64,1,0,0
14.03,11,home,6.5,0,0,0
4.4,11,hardware,28.38,0,0,0
26.54,14,retail,16.49,1,0,0
14.47,23,fuel,18.95,0,0,0
11.41,21,retail,12.61,0,0,0
70.27,23,travel,26.07,0,0,0
13.67,16,home,24.58,0,0,0
75.29,16,subscription,16.27,0,0,0
6.86,20,retail,26.92,0,0,0
75.99,19,travel,55.94,0,0,0
5.01,14,home,35.33,1,0,0
18.9,17,fuel,34.71,0,0,0
6.7,15,services,13.28,0,0,0
38.93,15,pharmacy,72.22,1,0,0
109.41,17,home,57.46,1,0,0
91.58,22,travel,7.79,1,0,0
8.95,15,food,33.24,0,0,0
18.24,23,auto,16.44,0,0,0
23.26,12,hardware,30.92,0,0,0
145.36,13,pharmacy,16.66,0,0,0
1.7,16,fuel,21.83,0,0,0
2.54,18,hardware,36.92,0,0,0
152.18,16,travel,37.74,0,0,0
10.66,17,subscription,9.89,1,0,0
7.39,17,auto,8.1,0,0,0
4.82,18,pharmacy,7.96,0,0,0
10.33,19,food,21.84,4,0,0
12.27,23,grocery,30.2,1,0,0
48.72,16,travel,31.34,0,0,0
16.02,11,subscription,25.04,0,0,0
7.09,17,pharmacy,25.76,0,0,0
20.47,15,luxury,14.42,1,0,0
12.96,9,subscription,26.06,0,0,0
507.3,18,electronics,9.77,0,0,0
352.88,17,electronics,6.24,0,0,0
24.55,12,food,5.04,1,0,0
7.17,16,grocery,17.11,0,0,0
4.11,11,food,32.76,1,0,0
4.89,14,retail,43.1,0,0,0
67.26,18,hardware,50.93,1,0,0
42.86,11,auto,14.8,1,0,0
11.41,14,fuel,16.65,0,0,0
11.51,16,luxury,42.82,0,0,0
16.64,23,fuel,67.35,0,0,0
67.79,21,hardware,35.45,0,0,0
2.97,13,grocery,20.85,0,0,0
18.2,14,food,22.76,0,0,0
3.69,22,home,22.5,0,0,0
167.62,19,grocery,17.16,0,0,0
11.18,14,services,51.13,1,0,0
2.61,16,pharmacy,35.13,0,0,0
117.23,8,luxury,38.02,1,0,1
10.55,14,food,5.89,1,0,0
48.31,21,home,18.23,0,0,0
13.03,4,home,22.3,0,0,0
7.01,17,pharmacy,41.92,1,0,0
29.76,13,retail,44.13,1,0,0
19.2,20,auto,30.47,0,0,0
243.5,20,subscription,37.54,0,0,0
38.88,15,pharmacy,32.68,1,0,0
69.93,13,travel,36.22,2,0,0
3.12,19,fuel,41.28,2,0,0
7.72,20,home,15.89,2,0,0
61.02,16,fuel,65.3,0,0,0
15.43,11,food,18.24,0,0,0
121.48,18,travel,19.57,2,0,0
55.03,18,travel,37.16,1,0,0
6.46,17,pharmacy,32.91,0,0,0
107.9,15,luxury,51.52,1,0,0
6.99,17,retail,19.1,1,0,0
4.15,5,pharmacy,39.72,0,1,0
61.6,14,electronics,35.13,0,0,0
147.85,23,luxury,17.77,1,0,0
23.0,13,services,14.52,0,0,0
285.28,20,electronics,22.14,1,0,0
8.71,17,electronics,50.0,0,0,0
9.73,17,home,45.3,0,0,0
36.87,16,pharmacy,59.15,1,0,0
